v1,Vn003,ID1
-4.500000000000000e+000,-3.745107e+000,-7.548933e-003
-4.400000000000000e+000,-3.731862e+000,-6.682971e-003
-4.300000000000001e+000,-3.717931e+000,-5.820787e-003
-4.200000000000001e+000,-3.703653e+000,-4.963499e-003
-4.100000000000001e+000,-3.688725e+000,-4.112842e-003
-4.000000000000002e+000,-3.672856e+000,-3.271628e-003
-3.900000000000002e+000,-3.655556e+000,-2.444861e-003
-3.800000000000002e+000,-3.635849e+000,-1.642688e-003
-3.700000000000002e+000,-3.610980e+000,-8.902328e-004
-3.600000000000001e+000,-3.572891e+000,-2.710861e-004
-3.500000000000001e+000,-3.498297e+000,-1.702624e-005
-3.400000000000001e+000,-3.399962e+000,-3.830918e-007
-3.300000000000001e+000,-3.299999e+000,-8.046845e-009
-3.200000000000001e+000,-3.200000e+000,-1.814044e-010
-3.100000000000001e+000,-3.100000e+000,-1.662173e-011
-3.000000000000001e+000,-3.000000e+000,-1.307370e-011
-2.900000000000001e+000,-2.900000e+000,-1.290150e-011
-2.800000000000001e+000,-2.800000e+000,-1.280005e-011
-2.700000000000001e+000,-2.700000e+000,-1.269998e-011
-2.600000000000001e+000,-2.600000e+000,-1.260002e-011
-2.500000000000000e+000,-2.500000e+000,-1.250002e-011
-2.400000000000000e+000,-2.400000e+000,-1.240003e-011
-2.300000000000000e+000,-2.300000e+000,-1.230000e-011
-2.200000000000000e+000,-2.200000e+000,-1.220000e-011
-2.100000000000000e+000,-2.100000e+000,-1.210001e-011
-2.000000000000000e+000,-2.000000e+000,-1.200001e-011
-1.900000000000000e+000,-1.900000e+000,-1.190002e-011
-1.800000000000000e+000,-1.800000e+000,-1.180000e-011
-1.700000000000000e+000,-1.700000e+000,-1.170001e-011
-1.600000000000000e+000,-1.600000e+000,-1.160001e-011
-1.500000000000000e+000,-1.500000e+000,-1.150000e-011
-1.400000000000000e+000,-1.400000e+000,-1.140000e-011
-1.299999999999999e+000,-1.300000e+000,-1.130001e-011
-1.199999999999999e+000,-1.200000e+000,-1.120001e-011
-1.099999999999999e+000,-1.100000e+000,-1.110000e-011
-9.999999999999992e-001,-1.000000e+000,-1.100000e-011
-8.999999999999993e-001,-9.000000e-001,-1.090000e-011
-7.999999999999993e-001,-8.000000e-001,-1.080000e-011
-6.999999999999993e-001,-7.000000e-001,-1.070000e-011
-5.999999999999993e-001,-6.000000e-001,-1.060000e-011
-4.999999999999993e-001,-5.000000e-001,-1.049999e-011
-3.999999999999994e-001,-4.000000e-001,-1.039994e-011
-2.999999999999994e-001,-3.000000e-001,-1.029892e-011
-1.999999999999994e-001,-2.000000e-001,-1.017731e-011
-9.999999999999937e-002,-1.000000e-001,-9.623695e-012
6.383782391594650e-016,6.383782e-016,1.960376e-025
1.000000000000006e-001,9.999998e-002,2.000489e-010
2.000000000000007e-001,1.999996e-001,4.397996e-009
3.000000000000007e-001,2.999907e-001,9.250381e-008
4.000000000000007e-001,3.998070e-001,1.930188e-006
5.000000000000007e-001,4.963923e-001,3.607656e-005
6.000000000000006e-001,5.695902e-001,3.041032e-004
7.000000000000006e-001,6.115642e-001,8.846177e-004
8.000000000000006e-001,6.396949e-001,1.603970e-003
9.000000000000006e-001,6.618081e-001,2.381960e-003
1.000000000000001e+000,6.811044e-001,3.190275e-003
1.100000000000001e+000,6.983919e-001,4.016751e-003
1.200000000000000e+000,7.145023e-001,4.855205e-003
