Freq.	-V(in)/I(Rg)
1.00000000000000e+003	(8.53844049206340e+001dB,-6.85132142924809e+001°)
1.02329299228075e+003	(8.52266780862835e+001dB,-6.81323485403461e+001°)
1.04712854805090e+003	(8.50702926205252e+001dB,-6.77490319554805e+001°)
1.07151930523761e+003	(8.49152679744434e+001dB,-6.73634751847643e+001°)
1.09647819614319e+003	(8.47616222326435e+001dB,-6.69758980969168e+001°)
1.12201845430196e+003	(8.46093719979759e+001dB,-6.65865294452173e+001°)
1.14815362149688e+003	(8.44585322768183e+001dB,-6.61956064670705e+001°)
1.17489755493953e+003	(8.43091163657949e+001dB,-6.58033744184202e+001°)
1.20226443461741e+003	(8.41611357406874e+001dB,-6.54100860425671e+001°)
1.23026877081238e+003	(8.40145999484955e+001dB,-6.50160009722872e+001°)
1.25892541179417e+003	(8.38695165035789e+001dB,-6.46213850651834e+001°)
1.28824955169313e+003	(8.37258907887673e+001dB,-6.42265096732458e+001°)
1.31825673855641e+003	(8.35837259624304e+001dB,-6.38316508474850e+001°)
1.34896288259165e+003	(8.34430228725593e+001dB,-6.34370884789458e+001°)
1.38038426460288e+003	(8.33037799786982e+001dB,-6.30431053793929e+001°)
1.41253754462275e+003	(8.31659932827515e+001dB,-6.26499863042433e+001°)
1.44543977074593e+003	(8.30296562696602e+001dB,-6.22580169211505e+001°)
1.47910838816821e+003	(8.28947598587111e+001dB,-6.18674827294915e+001°)
1.51356124843621e+003	(8.27612923664168e+001dB,-6.14786679352116e+001°)
1.54881661891248e+003	(8.26292394817344e+001dB,-6.10918542868849e+001°)
1.58489319246111e+003	(8.24985842543851e+001dB,-6.07073198790074e+001°)
1.62181009735893e+003	(8.23693070968132e+001dB,-6.03253379299459e+001°)
1.65958690743756e+003	(8.22413858004289e+001dB,-5.99461755413062e+001°)
1.69824365246174e+003	(8.21147955665815e+001dB,-5.95700924465540e+001°)
1.73780082874937e+003	(8.19895090525231e+001dB,-5.91973397574516e+001°)
1.77827941003892e+003	(8.18654964327619e+001dB,-5.88281587159683e+001°)
1.81970085860998e+003	(8.17427254756916e+001dB,-5.84627794613897e+001°)
1.86208713666287e+003	(8.16211616357452e+001dB,-5.81014198203193e+001°)
1.90546071796325e+003	(8.15007681607297e+001dB,-5.77442841293870e+001°)
1.94984459975804e+003	(8.13815062142308e+001dB,-5.73915620989395e+001°)
1.99526231496888e+003	(8.12633350125950e+001dB,-5.70434277269391e+001°)
2.04173794466953e+003	(8.11462119760752e+001dB,-5.67000382712621e+001°)
2.08929613085404e+003	(8.10300928934345e+001dB,-5.63615332890913e+001°)
2.13796208950223e+003	(8.09149320993330e+001dB,-5.60280337510702e+001°)
2.18776162394955e+003	(8.08006826635417e+001dB,-5.56996412381892e+001°)
2.23872113856834e+003	(8.06872965911340e+001dB,-5.53764372280443e+001°)
2.29086765276777e+003	(8.05747250324540e+001dB,-5.50584824775238e+001°)
2.34422881531992e+003	(8.04629185018519e+001dB,-5.47458165073141e+001°)
2.39883291901949e+003	(8.03518271038382e+001dB,-5.44384571938935e+001°)
2.45470891568503e+003	(8.02414007653394e+001dB,-5.41364004735644e+001°)
2.51188643150958e+003	(8.01315894728081e+001dB,-5.38396201619192e+001°)
2.57039578276886e+003	(8.00223435125859e+001dB,-5.35480678923139e+001°)
2.63026799189538e+003	(7.99136137131813e+001dB,-5.32616731751365e+001°)
2.69153480392691e+003	(7.98053516879881e+001dB,-5.29803435791956e+001°)
2.75422870333816e+003	(7.96975100767373e+001dB,-5.27039650362351e+001°)
2.81838293126445e+003	(7.95900427843824e+001dB,-5.24324022676356e+001°)
2.88403150312660e+003	(7.94829052158882e+001dB,-5.21654993321528e+001°)
2.95120922666638e+003	(7.93760545051558e+001dB,-5.19030802932264e+001°)
