Freq.	-V(out)/I(V1)
1.00000000000000e+003	(8.46914248872600e+001dB,-7.12563442389806e+001°)
1.02329299228075e+003	(8.45142139255459e+001dB,-7.08588734068255e+001°)
1.04712854805090e+003	(8.43379196158474e+001dB,-7.04545507609890e+001°)
1.07151930523761e+003	(8.41625730436284e+001dB,-7.00433512221612e+001°)
1.09647819614319e+003	(8.39882059175017e+001dB,-6.96252554396137e+001°)
1.12201845430196e+003	(8.38148505487493e+001dB,-6.92002501175394e+001°)
1.14815362149688e+003	(8.36425398277481e+001dB,-6.87683283449180e+001°)
1.17489755493953e+003	(8.34713071970438e+001dB,-6.83294899291534e+001°)
1.20226443461741e+003	(8.33011866209954e+001dB,-6.78837417308927e+001°)
1.23026877081238e+003	(8.31322125517449e+001dB,-6.74310980000733e+001°)
1.25892541179417e+003	(8.29644198914373e+001dB,-6.69715807103638e+001°)
1.28824955169313e+003	(8.27978439504952e+001dB,-6.65052198912409e+001°)
1.31825673855641e+003	(8.26325204018079e+001dB,-6.60320539558815e+001°)
1.34896288259165e+003	(8.24684852307630e+001dB,-6.55521300222609e+001°)
1.38038426460288e+003	(8.23057746809810e+001dB,-6.50655042259059e+001°)
1.41253754462275e+003	(8.21444251956542e+001dB,-6.45722420222044e+001°)
1.44543977074593e+003	(8.19844733545156e+001dB,-6.40724184747741e+001°)
1.47910838816821e+003	(8.18259558063114e+001dB,-6.35661185286590e+001°)
1.51356124843621e+003	(8.16689091968465e+001dB,-6.30534372647807e+001°)
1.54881661891248e+003	(8.15133700926391e+001dB,-6.25344801328584e+001°)
1.58489319246111e+003	(8.13593749002377e+001dB,-6.20093631602839e+001°)
1.62181009735893e+003	(8.12069597813494e+001dB,-6.14782131336062e+001°)
1.65958690743756e+003	(8.10561605639432e+001dB,-6.09411677496819e+001°)
1.69824365246174e+003	(8.09070126495747e+001dB,-6.03983757331689e+001°)
1.73780082874937e+003	(8.07595509171346e+001dB,-5.98499969179807e+001°)
1.77827941003892e+003	(8.06138096234647e+001dB,-5.92962022886341e+001°)
1.81970085860998e+003	(8.04698223010758e+001dB,-5.87371739799514e+001°)
1.86208713666287e+003	(8.03276216535585e+001dB,-5.81731052308847e+001°)
1.90546071796325e+003	(8.01872394490698e+001dB,-5.76042002910074e+001°)
1.94984459975804e+003	(8.00487064124510e+001dB,-5.70306742771238e+001°)
1.99526231496888e+003	(7.99120521166579e+001dB,-5.64527529772919e+001°)
2.04173794466953e+003	(7.97773048740282e+001dB,-5.58706726015012e+001°)
2.08929613085404e+003	(7.96444916281597e+001dB,-5.52846794769892e+001°)
2.13796208950223e+003	(7.95136378471012e+001dB,-5.46950296873712e+001°)
